team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
24,2017,82.0,44,25,13,101,61.6,2.817,2.549,1.146,17.8,38.0,46.0,214.0,83.2,30.1829,33.122,0.732,0.341,0.719,0.78,0.571,0.542,4875.0,2499.0,2376.0,51.3,9.3,0.923,24.0,Anaheim Ducks,/api/v1/teams/24,,,
24,2017,,13th,6th,2nd,8th,8th,18th,3rd,7th,23rd,29th,9th,30th,5th,27th,26th,12th,13th,21st,24th,10th,10th,26th,12th,3rd,8th,,,24.0,Anaheim Ducks,/api/v1/teams/24,28th,2nd,13th
25,2017,82.0,42,32,8,92,56.1,2.817,2.707,1.0963,19.3,47.0,54.0,244.0,80.8,31.2195,29.8415,0.682,0.316,0.731,0.861,0.463,0.629,5144.0,2701.0,2443.0,52.5,9.0,0.909,25.0,Dallas Stars,/api/v1/teams/25,,,
25,2017,,19th,19th,23rd,19th,19th,19th,7th,12th,19th,21st,24th,21st,14th,20th,4th,14th,18th,19th,17th,17th,17th,4th,2nd,11th,4th,,,25.0,Dallas Stars,/api/v1/teams/25,30th,13th,17th
26,2017,82.0,45,29,8,98,59.8,2.89,2.463,1.1567,20.4,49.0,39.0,240.0,85.0,31.0244,30.939,0.781,0.4,0.75,0.9,0.619,0.462,4884.0,2429.0,2455.0,49.7,9.3,0.92,26.0,Los Angeles Kings,/api/v1/teams/26,,,
26,2017,,11th,13th,21st,13th,13th,16th,1st,6th,18th,18th,2nd,25th,1st,22nd,8th,19th,2nd,16th,11th,7th,7th,25th,21st,13th,17th,,,26.0,Los Angeles Kings,/api/v1/teams/26,19th,3rd,14th
28,2017,82.0,45,27,10,100,61.0,3.012,2.756,0.9578,20.6,53.0,34.0,257.0,84.8,32.9512,30.3415,0.7,0.405,0.833,0.909,0.5,0.583,4991.0,2558.0,2433.0,51.2,9.1,0.909,28.0,San Jose Sharks,/api/v1/teams/28,,,
28,2017,,10th,11th,14th,10th,10th,13th,9th,18th,16th,12th,1st,10th,2nd,9th,6th,17th,7th,9th,9th,15th,15th,15th,10th,9th,9th,,,28.0,San Jose Sharks,/api/v1/teams/28,4th,15th,16th
29,2017,82.0,45,30,7,97,59.1,2.878,2.756,1.1342,17.2,39.0,51.0,227.0,76.2,33.6707,31.3049,0.652,0.417,0.759,0.833,0.553,0.563,4958.0,2400.0,2558.0,48.4,8.5,0.912,29.0,Columbus Blue Jackets,/api/v1/teams/29,,,
29,2017,,12th,15th,27th,15th,15th,17th,10th,8th,25th,28th,18th,28th,26th,5th,11th,13th,11th,14th,20th,12th,12th,18th,26th,23rd,26th,,,29.0,Columbus Blue Jackets,/api/v1/teams/29,2nd,10th,22nd
30,2017,82.0,45,26,11,101,61.6,3.049,2.793,1.1034,20.4,49.0,51.0,240.0,81.2,30.1951,31.3293,0.75,0.357,0.857,0.838,0.581,0.521,4849.0,2415.0,2434.0,49.8,10.1,0.911,30.0,Minnesota Wild,/api/v1/teams/30,,,
30,2017,,9th,9th,9th,9th,9th,11th,11th,11th,17th,17th,17th,24th,13th,26th,12th,11th,10th,7th,19th,8th,8th,27th,24th,10th,16th,,,30.0,Minnesota Wild,/api/v1/teams/30,26th,11th,6th
52,2017,82.0,52,20,10,114,69.5,3.329,2.634,1.2222,23.4,64.0,50.0,274.0,81.8,32.2317,31.8659,0.787,0.429,0.882,0.955,0.659,0.579,5055.0,2649.0,2406.0,52.4,10.3,0.917,52.0,Winnipeg Jets,/api/v1/teams/52,,,
52,2017,,3rd,2nd,13th,2nd,2nd,2nd,5th,3rd,5th,4th,16th,3rd,9th,14th,13th,3rd,9th,3rd,2nd,5th,5th,10th,5th,5th,5th,,,52.0,Winnipeg Jets,/api/v1/teams/52,27th,4th,4th
53,2017,82.0,29,41,12,70,42.7,2.512,3.061,0.8485,16.9,41.0,46.0,243.0,79.6,29.878,32.2195,0.5,0.167,0.6,0.677,0.353,0.348,5088.0,2429.0,2659.0,47.7,8.4,0.905,53.0,Arizona Coyotes,/api/v1/teams/53,,,
53,2017,,29th,29th,6th,29th,29th,30th,21st,26th,26th,26th,11th,22nd,19th,29th,19th,24th,30th,29th,31st,27th,27th,6th,22nd,29th,28th,,,53.0,Arizona Coyotes,/api/v1/teams/53,5th,20th,25th
54,2017,82.0,51,24,7,109,66.5,3.268,2.744,1.121,21.0,52.0,44.0,248.0,81.4,32.7561,30.7439,0.829,0.415,0.75,0.861,0.688,0.517,4987.0,2439.0,2548.0,48.9,10.0,0.911,54.0,Vegas Golden Knights,/api/v1/teams/54,,,
54,2017,,4th,5th,24th,5th,5th,5th,8th,9th,14th,14th,6th,15th,10th,11th,7th,6th,6th,15th,15th,1st,1st,16th,20th,22nd,22nd,,,54.0,Vegas Golden Knights,/api/v1/teams/54,13th,12th,8th
