,team_id,season,player_id,full_name,first_name,last_name,jersey_number,position,position_code
210,7,2016,8474589,Tyler Ennis,Tyler,Ennis,63,Right Wing,RW
211,7,2016,8474683,Derek Grant,Derek,Grant,38,Center,C
212,7,2016,8475158,Ryan O'Reilly,Ryan,O'Reilly,90,Center,C
213,7,2016,8475169,Evander Kane,Evander,Kane,91,Left Wing,LW
214,7,2016,8475179,Dmitry Kulikov,Dmitry,Kulikov,7,Defenseman,D
215,7,2016,8475220,Marcus Foligno,Marcus,Foligno,17,Left Wing,LW
216,7,2016,8475235,Nicolas Deslauriers,Nicolas,Deslauriers,44,Left Wing,LW
217,7,2016,8475728,Johan Larsson,Johan,Larsson,22,Left Wing,LW
218,7,2016,8475982,Erik Burgdoerfer,Erik,Burgdoerfer,46,Defenseman,D
219,7,2016,8476166,Taylor Fedun,Taylor,Fedun,4,Defenseman,D
220,7,2016,8476766,Cole Schneider,Cole,Schneider,29,Left Wing,LW
221,7,2016,8476878,Zemgus Girgensons,Zemgus,Girgensons,28,Left Wing,LW
222,7,2016,8476931,Jake McCabe,Jake,McCabe,22,Defenseman,D
223,7,2016,8477041,Brady Austin,Brady,Austin,67,Defenseman,D
224,7,2016,8477391,Sean Malone,Sean,Malone,43,Center,C
225,7,2016,8477392,Hudson Fasching,Hudson,Fasching,20,Right Wing,RW
226,7,2016,8477473,Justin Bailey,Justin,Bailey,95,Right Wing,RW
227,7,2016,8477478,William Carrier,William,Carrier,28,Left Wing,LW
228,7,2016,8477491,Nick Baptiste,Nick,Baptiste,13,Right Wing,RW
229,7,2016,8477499,Rasmus Ristolainen,Rasmus,Ristolainen,55,Defenseman,D
230,7,2016,8477933,Sam Reinhart,Sam,Reinhart,13,Center,C
231,7,2016,8478403,Jack Eichel,Jack,Eichel,9,Center,C
232,7,2016,8478425,Brendan Guhle,Brendan,Guhle,2,Defenseman,D
233,7,2016,8478542,Evan Rodrigues,Evan,Rodrigues,17,Center,C
234,7,2016,8479268,Casey Nelson,Casey,Nelson,8,Defenseman,D
235,7,2016,8479423,Alex Nylander,Alex,Nylander,11,Left Wing,LW
236,7,2016,8480083,C.J. Smith,C.J.,Smith,17,Left Wing,LW
237,7,2016,8475215,Robin Lehner,Robin,Lehner,90,Goalie,G
238,7,2016,8476999,Linus Ullmark,Linus,Ullmark,35,Goalie,G
239,8,2016,8467496,Andrei Markov,Andrei,Markov,79,Defenseman,D
240,8,2016,8468505,Steve Ott,Steve,Ott,92,Center,C
241,8,2016,8469521,Tomas Plekanec,Tomas,Plekanec,14,Center,C
242,8,2016,8470642,Shea Weber,Shea,Weber,6,Defenseman,D
243,8,2016,8471228,Alexander Radulov,Alexander,Radulov,47,Right Wing,RW
244,8,2016,8471296,Alexei Emelin,Alexei,Emelin,25,Defenseman,D
245,8,2016,8471338,Torrey Mitchell,Torrey,Mitchell,71,Center,C
246,8,2016,8471976,David Desharnais,David,Desharnais,51,Center,C
247,8,2016,8473507,Jeff Petry,Jeff,Petry,46,Defenseman,D
248,8,2016,8474038,Paul Byron,Paul,Byron,41,Left Wing,LW
249,8,2016,8474052,Chris Terry,Chris,Terry,15,Left Wing,LW
250,8,2016,8474100,Dwight King,Dwight,King,21,Left Wing,LW
251,8,2016,8474157,Max Pacioretty,Max,Pacioretty,67,Left Wing,LW
252,8,2016,8474688,Greg Pateryn,Greg,Pateryn,29,Defenseman,D
253,8,2016,8474717,Mark Barberio,Mark,Barberio,44,Defenseman,D
254,8,2016,8474743,Zach Redmond,Zach,Redmond,38,Defenseman,D
255,8,2016,8474818,Jordie Benn,Jordie,Benn,18,Defenseman,D
256,8,2016,8475848,Brendan Gallagher,Brendan,Gallagher,11,Right Wing,RW
257,8,2016,8475869,Brandon Davidson,Brandon,Davidson,88,Defenseman,D
258,8,2016,8476300,Nikita Nesterov,Nikita,Nesterov,89,Defenseman,D
